Copyright 1986-2022 Xilinx, Inc. All Rights Reserved. Copyright 2022-2024 Advanced Micro Devices, Inc. All Rights Reserved.
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2024.2 (lin64) Build 5239630 Fri Nov 08 22:34:34 MST 2024
| Date         : Wed Apr  1 14:46:27 2026
| Host         : bwrcix-1.EECS.Berkeley.EDU running 64-bit Red Hat Enterprise Linux 9.6 (Plow)
| Command      : report_utilization -hierarchical -file /scratch/lorenhung/chipyard/fpga/generated-src/chipyard.fpga.vcu118.VCU118FPGATestHarness.CustomSaturnVCU118Config/obj/report/utilization.txt
| Design       : VCU118FPGATestHarness
| Device       : xcvu9p-flga2104-2L-e
| Speed File   : -2L
| Design State : Physopt postRoute
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
|                                            Instance                                           |                                       Module                                       | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|           q_1                                                                                 |                                                Queue2_TLBundleD_a32d64s3k3z3c_1217 |         25 |         17 |       8 |    0 |     3 |      0 |      0 |    0 |          0 |
|             (q_1)                                                                             |                                                Queue2_TLBundleD_a32d64s3k3z3c_1217 |          5 |          5 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|             ram_ext                                                                           |                                                                      ram_2x80_1218 |         20 |         12 |       8 |    0 |     0 |      0 |      0 |    0 |          0 |
|         l2                                                                                    |                                                                     InclusiveCache |       6423 |       5995 |     428 |    0 |  2725 |    120 |      4 |    0 |          0 |
|           (l2)                                                                                |                                                                     InclusiveCache |         10 |         10 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|           ctrls                                                                               |                                                              InclusiveCacheControl |         26 |         26 |       0 |    0 |    89 |      0 |      0 |    0 |          0 |
|             (ctrls)                                                                           |                                                              InclusiveCacheControl |         17 |         17 |       0 |    0 |    60 |      0 |      0 |    0 |          0 |
|             out_back_front_q                                                                  |                                                        Queue1_RegMapperInput_i9_m8 |          9 |          9 |       0 |    0 |    29 |      0 |      0 |    0 |          0 |
|           inclusive_cache_bank_sched                                                          |                                                        InclusiveCacheBankScheduler |       6388 |       5960 |     428 |    0 |  2636 |    120 |      4 |    0 |          0 |
|             (inclusive_cache_bank_sched)                                                      |                                                        InclusiveCacheBankScheduler |          2 |          2 |       0 |    0 |    14 |      0 |      0 |    0 |          0 |
|             bankedStore                                                                       |                                                                        BankedStore |        360 |        360 |       0 |    0 |   168 |    112 |      4 |    0 |          0 |
|               (bankedStore)                                                                   |                                                                        BankedStore |        162 |        162 |       0 |    0 |   164 |      0 |      0 |    0 |          0 |
|               cc_banks_0                                                                      |                                                                         cc_banks_0 |         18 |         18 |       0 |    0 |     1 |     28 |      1 |    0 |          0 |
|                 cc_banks_0_ext                                                                |                                                                cc_banks_0_ext_1214 |         18 |         18 |       0 |    0 |     1 |     28 |      1 |    0 |          0 |
|                   mem_0_0                                                                     |                                                          split_cc_banks_0_ext_1215 |         18 |         18 |       0 |    0 |     1 |     28 |      1 |    0 |          0 |
|               cc_banks_1                                                                      |                                                                         cc_banks_1 |         18 |         18 |       0 |    0 |     1 |     28 |      1 |    0 |          0 |
|                 cc_banks_0_ext                                                                |                                                                cc_banks_0_ext_1212 |         18 |         18 |       0 |    0 |     1 |     28 |      1 |    0 |          0 |
|                   mem_0_0                                                                     |                                                          split_cc_banks_0_ext_1213 |         18 |         18 |       0 |    0 |     1 |     28 |      1 |    0 |          0 |
|               cc_banks_2                                                                      |                                                                         cc_banks_2 |         74 |         74 |       0 |    0 |     1 |     28 |      1 |    0 |          0 |
|                 cc_banks_0_ext                                                                |                                                                cc_banks_0_ext_1210 |         74 |         74 |       0 |    0 |     1 |     28 |      1 |    0 |          0 |
